category,prompt,position,seq_len,H_p,d_eff,d_eff_rot,d_eff_perm0,d_eff_perm1,d_eff_perm2,d_eff_perm_mean,d_eff_perm_predicted,d_eff_perm_residual,d_eff_predicted,d_eff_residual,d_eff_perm0_predicted,d_eff_perm0_residual,d_eff_perm1_predicted,d_eff_perm1_residual,d_eff_perm2_predicted,d_eff_perm2_residual
creative,"In a world where shadows could speak, the first words they uttered were",0,14,3.5214977264404297,3.0461649894714355,3.0461654663085938,3.351884126663208,3.18562650680542,3.0799741744995117,3.2058282693227134,3.2775942401917684,-0.071765970869055,3.323270106132763,-0.2771051166613274,3.3215772050531784,0.03030692161002957,3.256102730794096,-0.07047622398867626,3.2551027847280296,-0.1751286102285179
creative,"In a world where shadows could speak, the first words they uttered were",1,14,5.4564924240112305,4.520323753356934,4.520323276519775,4.534584045410156,4.496140480041504,4.477671146392822,4.502798557281494,4.434156021621314,0.06864253566017986,4.381848883160133,0.13847487019680038,4.48280755330523,0.051776492104925964,4.418705709850419,0.07743477019108447,4.40095480170829,0.0767163446845327
creative,"In a world where shadows could speak, the first words they uttered were",2,14,1.9467201232910156,2.4915318489074707,2.491533041000366,2.4295637607574463,2.4342269897460938,2.4308433532714844,2.4315447012583413,2.3108911984540077,0.12065350280433362,2.4016117859131896,0.08992006299428112,2.3416209388985783,0.08794282185886804,2.291357252240568,0.14286973750552567,2.29969540422288,0.1311479490486045
creative,"In a world where shadows could speak, the first words they uttered were",3,14,5.816048622131348,4.806805610656738,4.806805610656738,4.850811958312988,4.674136161804199,4.7800798416137695,4.768342653910319,4.623532969375679,0.14480968453464005,4.554038579638128,0.2527670310186103,4.671650627465571,0.1791613308474176,4.609987015391722,0.06414914641247726,4.588961265269741,0.19111857634402885
creative,"In a world where shadows could speak, the first words they uttered were",4,14,3.395188331604004,3.076904058456421,3.0769052505493164,3.3469879627227783,3.354393720626831,3.3595798015594482,3.353653828303019,3.1983318010654247,0.15532202723759436,3.2495014827366284,-0.17259742428020752,3.2415658406736227,0.10542212204915558,3.1767409000049964,0.17765282062183463,3.1766886625176554,0.18289113904179288
creative,"In a world where shadows could speak, the first words they uttered were",5,14,3.7240607738494873,3.7384204864501953,3.7384214401245117,3.8142905235290527,3.6149544715881348,3.7837791442871094,3.7376747131347656,3.404529934113392,0.3331447790213735,3.4409403966287626,0.2974800898214327,3.4495999518846228,0.36469057164443,3.3832821201742744,0.23167235141386033,3.3807077302812782,0.40307141400583113
creative,"In a world where shadows could speak, the first words they uttered were",6,14,1.9333657026290894,1.5720773935317993,1.572078824043274,1.9778711795806885,1.8400624990463257,1.869352102279663,1.8957619269688923,2.3031044580667066,-0.40734253109781426,2.3939287933658155,-0.8218513998340162,2.3336853041344945,-0.355814124553806,2.283619207790488,-0.44355670874416253,2.2920088622751407,-0.4226567599954776
creative,"In a world where shadows could speak, the first words they uttered were",7,14,3.360564708709717,3.010373115539551,3.0103745460510254,3.0272111892700195,3.1077888011932373,2.9189810752868652,3.017993688583374,3.1766034846580435,-0.15860979607466952,3.229237131808673,-0.218864016269122,3.2196226889896,-0.19241149971958027,3.154992544749553,-0.047203743556315736,3.155195220234977,-0.23621414494811166
creative,"In a world where shadows could speak, the first words they uttered were",8,14,6.944948196411133,5.000316619873047,5.000316619873047,5.123746395111084,5.2390971183776855,5.23512077331543,5.199321428934733,5.126952505361629,0.0723689235731042,5.016742721702428,-0.016426101829381423,5.170557377089351,-0.046810981978267385,5.120537739748521,0.11855937862916477,5.0897623992470145,0.14535837406841523
creative,"In a world where shadows could speak, the first words they uttered were",9,14,5.756937026977539,4.506474018096924,4.506473541259766,4.706948280334473,4.632467269897461,4.639240264892578,4.659551938374837,4.593219035107887,0.06633290326695018,4.52645121096147,-0.019977192864546467,4.641454508047965,0.06549377228650766,4.579346210583752,0.053121059313708585,4.558856386691939,0.08038387820063875
